"product_name","description","product_category"
"Brazilian - Organic","It's like Carnival in a cup. Clean and smooth.","Organic Beans"
"Our Old Time Diner Blend","Our packed blend of beans that is reminiscent of the cup of coffee you used to get at a diner. ","House blend Beans"
"Espresso Roast","Our house blend for a good espresso shot.","Espresso Beans"
"Primo Espresso Roast","Our premium single source of hand roasted beans.","Espresso Beans"
"Columbian Medium Roast","A smooth cup of coffee any time of day. ","Gourmet Beans"
"Ethiopia","From the home of coffee.","Gourmet Beans"
"Jamacian Coffee River","Ya man, it will start your day off right. ","Premium Beans"
"Civet Cat","The most expensive coffee in the world, the cats do all the work. ","Premium Beans"
"Organic Decaf Blend","Our blend of hand picked organic beans that have been naturally decaffinated. ","Organic Beans"
"Guatemalan Sustainably Grown","Green beans you can roast yourself. ","Green beans"
"Lemon Grass","You will think you are Thailand as you sip your cuppa. ","Herbal tea"
"Peppermint","Cool and refreshing to help calm your nerves. ","Herbal tea"
"English Breakfast","The traditional cup to start your day.","Black tea"
"Earl Grey","A full leaf of Orange Pekoe blended with organic oil of bergamot.","Black tea"
"Serenity Green Tea","Mountain grown and harvested at the optimal time. ","Green tea"
"Traditional Blend Chai","A traditional blend.","Chai tea"
"Morning Sunrise Chai","Fair trade and organic and has a warm finish. ","Chai tea"
"Spicy Eye Opener Chai","A spicier blend to awaken your taste buds.","Chai tea"
"Dark chocolate","This drinking chocolate is smooth and creamy.","Drinking Chocolate"
"Sustainably Grown Organic","Certified organic containing the highest quality ingredients. ","Organic Chocolate"
"Chili Mayan","Fragrant with spices, this is the most flavourful drinking chocolate you will find.","Drinking Chocolate"
"Our Old Time Diner Blend Sm","An honest cup a coffee.","Drip coffee"
"Our Old Time Diner Blend Rg","An honest cup a coffee.","Drip coffee"
"Our Old Time Diner Blend Lg","An honest cup a coffee.","Drip coffee"
"Brazilian Sm","It's like Carnival in a cup. Clean and smooth.","Organic brewed coffee"
"Brazilian Rg","It's like Carnival in a cup. Clean and smooth.","Organic brewed coffee"
"Brazilian Lg","It's like Carnival in a cup. Clean and smooth.","Organic brewed coffee"
"Columbian Medium Roast Sm","A smooth cup of coffee any time of day. ","Gourmet brewed coffee"
"Columbian Medium Roast Rg","A smooth cup of coffee any time of day. ","Gourmet brewed coffee"
"Columbian Medium Roast Lg","A smooth cup of coffee any time of day. ","Gourmet brewed coffee"
"Ethiopia Sm","A bold cup when you want that something extra.","Gourmet brewed coffee"
"Ethiopia Rg","A bold cup when you want that something extra.","Gourmet brewed coffee"
"Ethiopia Lg","A bold cup when you want that something extra.","Gourmet brewed coffee"
"Jamaican Coffee River Sm","Still a front runner for good premium coffee. ","Premium brewed coffee"
"Jamaican Coffee River Rg","Still a front runner for good premium coffee. ","Premium brewed coffee"
"Jamaican Coffee River Lg","Still a front runner for good premium coffee. ","Premium brewed coffee"
"Espresso shot","You will think you are in Venice when you sip this one. ","Barista Espresso"
"Latte","You will think you are in Venice when you sip this one. ","Barista Espresso"
"Latte Rg","You will think you are in Venice when you sip this one. ","Barista Espresso"
"Cappuccino","You will think you are in Venice when you sip this one. ","Barista Espresso"
"Cappuccino Lg","You will think you are in Venice when you sip this one. ","Barista Espresso"
"Lemon Grass Rg","You will think you are in Thailand. ","Brewed herbal tea"
"Lemon Grass Lg","You will think you are in Thailand. ","Brewed herbal tea"
"Peppermint Rg","A cool and refreshing cup.","Black tea"
"Peppermint Lg","A cool and refreshing cup.","Brewed herbal tea"
"Serenity Green Tea Rg","Feel the stress leaving your body. ","Brewed Green tea"
"Serenity Green Tea Lg","Feel the stress leaving your body. ","Brewed Green tea"
"English Breakfast Rg","The Queen's favourite cuppa in the morning. ","Brewed Black tea"
"English Breakfast Lg","The Queen's favourite cuppa in the morning. ","Brewed Black tea"
"Earl Grey Rg","Tradition in a cup.","Brewed Black tea"
"Earl Grey Lg","Tradition in a cup.","Brewed Black tea"
"Traditional Blend Chai Rg","Sit back and think of the tropical breezes.","Brewed Chai tea"
"Traditional Blend Chai Lg","Sit back and think of the tropical breezes.","Brewed Chai tea"
"Morning Sunrise Chai Rg","Face the morning after your yoga routine. ","Brewed Chai tea"
"Morning Sunrise Chai Lg","Face the morning after your yoga routine. ","Brewed Chai tea"
"Spicy Eye Opener Chai Rg","When you need your eyes opened wide.","Brewed Chai tea"
"Spicy Eye Opener Chai Lg","When you need your eyes opened wide.","Brewed Chai tea"
"Dark chocolate Rg","Slightly bitter, but still very rich. ","Hot chocolate"
"Dark chocolate Lg","Slightly bitter, but still very rich. ","Hot chocolate"
"Sustainably Grown Organic Rg","Just pure notes of spice.","Hot chocolate"
"Sustainably Grown Organic Lg","Just pure notes of spice.","Hot chocolate"
"Snow Day Hot Chocolate","Added marshmallows for the needed sugar rush.","Hot chocolate"
"Carmel syrup","Rich carmel taste","Regular syrup"
"Hazelnut syrup","Bursting with nutty flavour","Regular syrup"
"Sugar Free Vanilla syrup","Our favorite","Sugar free syrup"
"Pumpkin Spice Latte","Boo, its that time of year again","Seasonal drink"
"Pumpkin Spice Latte Lg","Boo, its that time of year again","Seasonal drink"
"Happy Holidays hot chocolate","Candy cane and hot chocolate, perfect.","Seasonal drink"
"Hazelnut Biscotti","Crunch!","Biscotti"
"Cranberry Scone","Like Grandma used to make","Scone"
"Chocolate Croissant","Chocolate flakes","Pastry"
"Ginger Scone","Little bit of spice","Scone"
"Almond Croissant","Crunch!","Pastry"
"Ginger Biscotti","Crunch!","Biscotti"
"Croissant","Flakey and buttery","Pastry"
"Chocolate Chip Biscotti","Crunch!","Biscotti"
"Oatmeal Scone","Grannys fav","Scone"
"Scottish Cream Scone ","Old time comfort","Scone"
"Jumbo Savory Scone","Anytime, anywhere","Scone"
"I Need My Bean! Toque","keep your head bean warm","Clothing"
"I Need My Bean! T-shirt","Stylish chic","Clothing"
"I Need My Bean! Diner mug","Classic","Housewares"
"I Need My Bean! Latte cup","The cup and saucer set is the perfect way to enjoy your latte at home","Housewares"
"Chocolate syrup","Bursting with chocolate flavour","Regular syrup"
"Rio Nights","2 shots of Ouro Brasilerio and pure cane sugar syrup","Specialty coffee"
"Ouro Brasileiro shot","From Rio","Specialty coffee"
"Ouro Brasileiro shot promo","Ouro promo","Specialty coffee"
"Ginger Scone promo","Little bit of spice","Scone"
